,char,strokeorder
1244,時,S-HZ-H-H H-S-H H-SG-D
1245,疯,D-H-SP D T SP HZWG P-N
1246,仔,P-S HG-SG-H
1247,抛,H-SG-T SP-HZWG HZG-SP
1248,故,H-S S-HZ-H P-H-P-N
1249,纱,PZ-PZ T SG P D P
1250,翟,HZG D T HZG D T P-S-D-H-H-H-S-H
1251,乌,P HZG SZWG H
1252,试,D HZT H-XG D H S-H
1253,慈,D P H PZ-PZ-D PZ-PZ-D D BXG D D
1254,仿,P-S D-H-HZG-SP
1255,爷,P D P-N HZG-S
1256,战,S-H S-HZ-H H-XG-P-D
1257,息,P-S-HZ-H-H-H D BXG D D
1258,功,H S-H HZG-SP
1259,旺,S-HZ-H-H H H-S-H
1260,济,D D T D H P-N SP S
1261,畜,D H PZ-PZ-D S-HZ-H-S-H
1262,要,H-S-HZ-S-S-H PD-P-H
1263,盘,P-SP-HZG-D-D-H S-HZ-S-S-H
1264,欠,P-HG SP-N
1265,帆,S-HZG-S SP-HZWG D
1266,段,P S H H T P HZW HP N
1267,辣,D H D P H H-S H-S-HZ-H-S-P-N
1268,輝,S-D-P-H-SP-SWG D-HG H-S-HZ-H-H-H-S
1269,仑,P-N P-SWG
1270,苑,H S S P HP D HZG SWG
1271,嘟,S-HZ-H H-S-H-P S-HZ-H-H HPWG-S
1272,益,D P H P D S-HZ-S-S-H
1273,死,H P-HP-D P-SWG
1274,绮,PZ-PZ T H-SP-N H-SG S-HZ-H
1275,右,H-P S-HZ-H
1276,斯,H-S-S-H-H-H P-D P-SP-H-S
1277,戶,P-SP-HZ-H
1278,晋,H S-S-D-P-H S-HZ-H-H
1279,码,H-P S-HZ-H HZ-SZWG H
1280,象,P-HG-S-HZ-H-P-WG-P-P-P-N
1281,奖,S D T P-HP-D H-SP-N
1282,窑,D D-HG P TN P-H-H-S-SZ-S
1283,愛,P D D P D-HG D BXG D D P-HP-N
1284,蚕,H-H-SP-N S-HZ-H-S-T-D
1285,障,HPWG-S D H D P H S-HZ-H-H H-S
1286,救,H SG D T P D D P H P N
1287,飯,P-D D-HZ-H-H-ST-D P-SP HP-N
1288,琪,H H-S-H H-S-S-H-H-H P-D
1289,肯,S-H-S-H SP-HZG-H-H
1290,刹,P-N H-SG P D S SG
1291,沃,D D T P-H-SP-N
1292,缓,PZ-PZ T P D D P H H-P HP-N
1293,雨,H-S-HZG-S-D-D-D-D
1294,號,S-HZ-H H-SZWG S-H-HG-SP H-SWG SP HZWG
1295,只,S-HZ-H P D
1296,端,D H D P H S-SZ-S H-P-S-HZG-S-S
1297,感,H-SP-XG-P-D H S-HZ-H D BXG D D
1298,浦,D D T H-S-HZG-H-H-S D
1299,兑,D P S-HZ-H SP SWG
1300,菲,H-S-S S-H-H-H S-H-H-H
1301,铜,P-H-H-H-ST S-HZG H S-HZ-H
1302,鸣,S-HZ-H P-HZG-D-SZWG H
1303,復,P P S P H S HZ H H P HP N
1304,罗,S-HZ-S-S-H P-HP-D
1305,绽,PZ-PZ T D-D-HG H S-H-P-N
1306,甫,H-S-HZG-H-H-S D
1307,植,H-S-P-D H-S-S-HZ-H-H-H H
1308,筹,P-H-D P-H-D H-H-H-P-H-SG-D
1309,宅,D-D-HG P H-SWG
1310,整,H-S-HZ-H-S-P-N P-H-P-N H-S-H-S-H
1311,即,HZ H H ST D HZG S
1312,听,S-HZ-H P-SP-H-S
1313,莲,H-S-S H-SZ-H-S D HZ-TN
1314,拜,P-H-H-P H H-H-H-S
1315,宛,D S HG P HP D HZG SWG
1316,逛,P-WG-P H H-S-H D HZ-TN
1317,發,HP-D P-P-N HZ-H-SZWG SP HZW HP-N
1318,內,S-HZG P-TN
1319,描,H-SG-T H-S-S S-HZ-H-S-H
1320,園,S HZ H S H S HZ H P S P D H
1321,谛,D HZT D H D P D-HG S-HZG-S
1322,猫,P-WG-P H-S-S S-HZ-H-S-H
1323,液,D D T D H P S P HP D N
1324,廣,D-H-SP H-S-S-H-H S-HZ-H-S-H P D
1325,席,D-H-SP H-S-S-H S-HZG-S
1326,题,S-HZ-H-H H S-H-P-N H-P S-HZ SP-D
1327,卢,S-H HZ-H-SP
1328,誉,D D P H P D D H H H S-HZ-H
1329,鲍,P-HG S-HZ-H-S-H H P-HZG HZ-H-SWG
1330,殿,HZ-H-SP H-S-S-H-P-D SP HZW HP-N
1331,瓜,P P ST D N
1332,貝,S-HZ-H-H-H P D
1333,早,S-HZ-H-H H-S
1334,翼,HZG D T HZG D T S-HZ-H-S-H H-S-S-H-P-D
1335,验,HZ-SZWG H P-N H D D P H
1336,氣,P-H-H-HZWG D P H-S-P-N
1337,疾,D-H-SP D T P-H-H-SP-N
1338,抱,H-SG-T P-HZG HZ-H-SWG
1339,冲,D T S-HZ-H S
1340,患,S-HZ-H S-HZ-H S D BXG D D
1341,籁,P-H-D P-H-D H-S-HZ-H-S-P-N P-HG S-HZ SP-D
1342,蚂,S-HZ-H-S-T-D HZ-SZWG H
1343,樊,H-S-P-D P-N P-N H-S-P-N H-SP-N
1344,粱,D D T HZG-SP SP D D P H-S-P-N
1345,位,P-S D H D P H
1346,涧,D D T S-D-HZG S-HZ-H-H
1347,匾,H D HZ-H-SP S-HZG H-S-S SZ
1348,扦,H-SG-T P-H-S
1349,软,H-SZ-H-S P-HG SP-N
1350,插,H SG T P H S P S H HZ H H
1351,甲,S-HZ-H-H-S
1352,習,HZG D T HZG D T P-S-HZ-H-H
1353,丁,H-SG
1354,罐,P-H-H-S-SZ-S H-S-S S-HZ-H S-HZ-H P-S-D-H-H-H-S-H
1355,支,H-S HP-N
1356,膳,SP-HZG-H-H D-P-H-H-S-H D P H S-HZ-H
1357,朝,H-S S-HZ-H-H H-S SP-HZG-H-H
1358,荷,H-S-S P-S H-SG S-HZ-H
1359,澳,D D T SP S-HZG D P H-S-P-N H-SP-N
1360,開,S-HZ-H-H S-HZG-H-H H H-SP-S
1361,伽,P-S HZG-SP S-HZ-H
1362,宋,D-D-HG H-S-P-N
1363,焊,D-P-SP-D S-HZ-H-H H H-S
1364,孚,P D D P HG-SG-H
1365,幻,PZ PZ D HZG
1366,呈,S-HZ-H H H-S-H
1367,架,HZG-SP S-HZ-H H-S-P-N
1368,赖,H-S-HZ-H-S-P-N P-HG S-HZ SP-D
1369,珊,H H S T P HZG P HZG H
1370,孔,HG-SG-H SWG
1371,晨,S-HZ-H-H H-SP H H-ST-P-N
1372,雲,H-D-HG-S H H H H H H-PZ-D
1373,唤,S-HZ-H P-HG S-HZ-H-SP-N
1374,笔,P-H-D P-H-D P-H-H-SWG
1375,秒,P-H-S-P-D SG P D P
1376,睿,S-H D-HG H P D SP-N S-HZ-H-H-H
1377,拌,H-SG-T D P H-H-S
1378,挂,H-SG-T H-S-H H-S-H
1379,裱,D HP S P D H H S H P ST P N
1380,份,P-S P TN HZG-SP
1381,刊,H H-S S SG
1382,奢,H-SP-N H-S-H-P S-HZ-H-H
1383,墅,S-HZ-H-H-H-S-H HG-D-HG-SG H-S-H
1384,泓,D D T HZ-H-SZWG PZ-D
1385,充,D-H-PZ-D SP-SWG
1386,微,P P-S S-SZ-S H-SP-SWG P-H-P-N
1387,坛,H-S-H H H-PZ-D
1388,纠,PZ-PZ T ST-S
1389,献,H-S S-HZG D P H H-S H-SP-N D
1390,藏,H-S-S SZ-S-H-SP H-XG-P-D H-S-HZ-H-S-SZ
1391,卤,S-H S-HZ P-N H
1392,奠,D P H-S-HZ-SP-SW-H-H H-SP-N
1393,变,D-H-SP-SG-P-D HP-N
1394,冬,P-HP-N D D
1395,橱,H-S-P-D H-SP H S-HZ-H D P H H-SG-D
1396,菱,H-S-S H-S-H P TN P-HP-N
1397,杷,H-S-P-D HZ-S-H-SWG
1398,佰,P-S H P-S-HZ-H-H
1399,细,PZ-PZ T S-HZ-H-S-H
1400,留,P ST D HZG P S HZ H S H
1401,潭,D D T H-S-HZ-S-S-H S-HZ-H-H H-S
1402,塲,H S T P H S HZ H H H P HZG P P
1403,始,PD-P-H PZ-D S-HZ-H
1404,圜,S-HZ S-HZ-S-S-H H S-HZ-H-P-ST-P-N H
1405,宪,D-D-HG P-H-S-H-SP-SWG
1406,盗,D T P-HG SP-N S-HZ-S-S-H
1407,框,H-S-P-D H H H-S-H SZ
1408,淘,D D T P-HZG P-H-H-S-SZ-S
1409,旷,S-HZ-H-H D-H-SP
1410,或,H S-HZ-H T XG-P-D
1411,牵,H-SP-N D-HG P-H-H-S
1412,奇,H-SP-N H-SG S-HZ-H
1413,碳,H-P S-HZ-H S-SZ-S H-P D-P-SP-N
1414,弓,HZ-H-SZWG
1415,午,P-H-H-S
1416,由,S-HZ-H-S-H
1417,侥,P S H P XG H P SWG
1418,太,H-SP-N D
1419,阔,S-D-HZG D D T P-H-S S-HZ-H
1420,愈,P-N H SP-HZG-H-H S SG D BXG D D
1421,悦,D D S D P S-HZ-H SP SWG
1422,备,P-HP-N S-HZ-H-S-H
1423,铸,P-H-H-H-ST H-H-H-P-H-SG-D
1424,皇,P-S-HZ-H-H H H-S-H
1425,澎,D D T H-S-H S-HZ-H D P H P P P
1426,盈,HZZZG-SP HP-N S-HZ-S-S-H
1427,玖,H H-S-H P-HP-N
1428,捞,H-SG-T H-S-S D-HG HZG-SP
1429,染,D D T SP-HZWG H-S-P-N
1430,陀,HPWG-S D-D-HG P-SWG
1431,倒,P-S H PZ-D H-S-H S SG
1432,序,D-H-SP HG-D-HG-SG
1433,衫,D-HP-S-P-D P P P
1434,韵,D H D P H S-HZ-H-H P-HZG D T
1435,尖,SG P D H-SP-N
1436,使,P-S H-S-HZ-H-SP-N
1437,缇,PZ-PZ T S-HZ-H-H H S-H-P-N
1438,坪,H-S-H H-D-P-H-S
1439,圈,S-HZ D P H-H-P-N HZG-SWG H
1440,跨,S-HZ-H S-H-S-T H-SP-N H H-SZWG
1441,浮,D D T P D D P HG-SG-H
1442,磚,H P S HZ H H S HZ H H S H D H SG D
1443,卉,H-S H-SP-S
1444,忧,D D S H-SP-SWG D
1445,划,H-XG-P-D S SG
1446,浩,D D T P-H-S-H S-HZ-H
1447,梯,H S P D D P HZ H SZWG S P
1448,凉,D T D-H S-HZ-H-SG-P-D
1449,凌,D T H-S-H P TN P-HP-N
1450,疆,HZ-H-SZWG H-S-H H S-HZ-H-S-H H S-HZ-H-S-H H
1451,鹭,S-HZ-H S-H-S-T P-HP-N S-HZ-H P-HZG-D-SZWG H
1452,黏,P-H-S-P-N P-N SG D T P D S-H S-HZ-H
1453,伯,P-S P-S-HZ-H-H
1454,雷,H-D-HG-S H H H H S-HZ-H-S-H
1455,渝,D D T P-N H SP-HZG-H-H S SG
1456,解,P-HG SP-HZG-H-H-S HZG-SP P-H-H-S
1457,牙,H-SZ-SG-P
1458,蝎,S-HZ-H-S-T-D S-HZ-H-H P-HZG P-N SZ
1459,紡,PZ-PZ D D D D D-H-HZG-SP
1460,饨,P-HG ST H-SZ-S-SWG
1461,壁,HZ-H-SP S-HZ-H D H D P H H-S H-S-H
1462,别,S-HZ-H HZG-SP S SG
1463,柔,HG-D-HG-SG-P H-S-P-N
1464,肥,SP-HZG-H-H HZ-S-H-SWG
1465,轨,H-SZ-H-S SP-HZWG
1466,劲,HP D H S T HZG P
1467,衬,D-HP-S-P-D H-SG-D
1468,羽,HZG D T HZG D T
1469,艮,HZ-H-H-ST-P-N
1470,朗,D HZ H H ST D P HZG H H
1471,唱,S-HZ-H S-HZ-H-H S-HZ-H-H
1472,窖,D D-HG P TN P-H-S-H S-HZ-H
1473,遵,D P H-S-HZ-SP-SW-H-H H-SG-D D HZ-TN
1474,庐,D-H-SP D HZ-H-SP
1475,荊,S-H S-H H H-SP-S S SG
1476,辰,H-SP H H-ST-P-N
1477,皋,P-S-HZ-H-H H-SP-N H-S
1478,差,D-P-H-H-H-P H S-H
1479,磁,H-P S-HZ-H D P H PZ-PZ-D PZ-PZ-D
1480,鉴,S S P H D P N H H S D P H
1481,斗,D D H-S
1482,茅,H-S-S HG-D-HG-SG-P
1483,盐,H-S-H S D S-HZ-S-S-H
1484,弯,D-H-SP-SG-P-D HZ-H-SZWG
1485,鸡,HP-N P-HZG-D-SZWG H
1486,瑗,H H-S-H P D D P H H-P HP-N
1487,谨,D HZT H S S H S HZ H H H S H
1488,而,H-P-S-HZG-S-S
1489,察,D S HG P HP D D HP N H H SG P D
1490,惊,D D S D-H S-HZ-H-SG-P-D
1491,恪,D D S P-HP-N S-HZ-H
1492,璨,H H-S-H S-H P-HP-D HP-N D P H-S-P-N
1493,盱,S-HZ-H-H-H H-H-SG
1494,铭,P-H-H-H-ST P-HP-D S-HZ-H
1495,击,H-H-S-SZ-S
1496,泊,D D T P-S-HZ-H-H
1497,鹰,D-H-SP P-S P-S-D-H-H-H-S-H P-HZG-D-SZWG H
1498,承,HP SG H H H HP P N
1499,背,S-H-T P-SWG SP-HZG-H-H
1500,滴,D D T D H D P S-HZG H-S S-HZ-H
1501,律,P P-S HZ-H-H-H-H-S
1502,拷,H-SG-T H-S-H-P H-SZWG
1503,输,H-SZ-H-S P-N H SP-HZG-H-H S SG
1504,其,H-S-S-H-H-H P-D
1505,威,H-SP-XG-P-D H PD-P-H
1506,姐,PD-P-H S-HZ-H-H-H
1507,侧,P-S S-HZ SP-D S SG
1508,李,H-S-P-N HG-SG-H
1509,俄,P-S P-H-SG-T-XG-P-D
1510,嘿,S-HZ-H S-HZ-D-P-H-H-S-H D D D D
1511,蔓,H-S-S S-HZ-H-H S-HZ-S-S-H HP-N
1512,违,H-H-HZG-S D HZ-TN
1513,庙,D-H-SP S-HZ-H-S-H
1514,蘭,S-H S-H S-HZ-H-H S-HZG-H-H H-S-HZ-D-P-H-S-P-N
1515,笋,P H D P H D HZ H H P
1516,與,H-SZZ-S P-S-H-H-HZ-H-H-H P D
1517,芳,H-S-S D-H-HZG-SP
1518,桑,HP-N HP-N HP-N H-S-P-N
1519,汀,D D T H-SG
1520,萱,H-S-S D-D-HG H S-HZ-H-H H
1521,储,P-S D HZT H-S-H-P S-HZ-H-H
1522,付,P-S H-SG-D
1523,武,H H-XG D S-H-S-H
1524,绗,PZ-PZ T P P-S H H-SG
1525,真,H-S S-HZ-H-H-H H P D
1526,误,D HZT S-HZ-H H-H-SP-N
1527,車,H-S-HZ-H-H-H-S
1528,评,D HZT H-D-P-H-S
1529,映,S-HZ-H-H S-HZ-H-SP-N
1530,逸,P-HG-S-HZ-H-SP-SWG-D D HZ-TN
1531,叉,HP D N
1532,鋪,P-D H-H-S-D-P-T H-S-HZG-H-H-S D
1533,窨,D D-HG P TN D H D P H S-HZ-H-H
1534,需,H-D-HG-S H H H H H-P-S-HZG-S-S
1535,鸿,D D T H S-H P-HZG-D-SZWG H
1536,設,D H H H S-HZ-H SP HZW HP-N
1537,樱,H-S-P-D S-HZ SP-D S-HZ SP-D PD-P-H
1538,役,P P-S SP HZW HP-N
1539,结,PZ-PZ T H-S-H S-HZ-H
1540,脂,SP-HZG-H-H P-SWG S-HZ-H-H
1541,腔,SP-HZG-H-H D D-HG P TN H S-H
1542,俱,P-S S-HZ-H-H-H H P D
1543,農,S-HZ-H-S-S-H H-SP H H-ST-P-N
1544,今,P-N D HP
1545,角,P-HG SP-HZG-H-H-S
1546,砂,H-P S-HZ-H SG P D P
1547,焖,D-P-SP-D S-D-HZG D BXG D D
1548,争,P HZ HZ H H SG
1549,澜,D D T S-D-HZG H-S-HZ-D-P-H-S-P-N
1550,剧,HZ-H-SP H-S S-HZ-H S SG
1551,狐,P WG P P P ST D N
1552,衰,D H S HZ H H P ST P N
1553,碧,H H-S-H P-S-HZ-H-H H-P S-HZ-H
1554,冠,D-HG H-H-SP-SWG H-SG-D
1555,组,PZ-PZ T S-HZ-H-H-H
1556,寨,D-D-HG H-H-SP-S H P TN H-S-P-N
1557,骊,HZ-SZWG H H S-HZG D S-HZG D
1558,究,D D-HG P TN SP-HZWG
1559,船,P-SP-HZG-D-D-H SP HZW S-HZ-H
1560,曼,S-HZ-H-H S-HZ-S-S-H HP-N
1561,者,H-S-H-P S-HZ-H-H
1562,弹,HZ-H-SZWG D P S-HZ-H-H-H-S
1563,順,SP S S H-P S-HZ-H-H-H P D
1564,签,P-H-D P-H-D P-N H D D P H
1565,徽,P P-S S-SZ-S H PZ-PZ-D SG P D P-H-P-N
1566,鼓,H-S-H S-HZ-H D P H H-S HP-N
1567,堤,H-S-H S-HZ-H-H H S-H-P-N
1568,邪,H-SZ-SG-P HPWG-S
1569,龍,D-H-D-P-H S-HZG-H-H H-SZZ-H-SWG-H-H-H
1570,凡,SP-HZWG D
1571,脑,SP-HZG-H-H D H P-N SZ-S
1572,記,D H H H S-HZ-H HZ-H-SWG
1573,舟,P-SP-HZG-D-D-H
1574,蝶,S-HZ-H-S-T-D H-S-S-H-SZ H-S-P-N
1575,仪,P-S D P-N
1576,希,P-N H-P S-HZG-S
1577,娘,PD-P-H D HZ-H-H-ST-P-N
1578,森,H-S-P-N H-S-P-N H-S-P-N
1579,薄,H-S-S D D T H-S-HZG-H-H-S D H-SG-D
1580,曙,S-HZ-H-H S-HZ-S-S-H H-S-H-P S-HZ-H-H
1581,伟,P-S H-H-HZG-S
1582,缔,PZ-PZ T D H D P D-HG S-HZG-S
1583,灿,D-P-SP-D S-SZ-S
1584,洪,D D T H-S-S-H-P-D
1585,离,D H P-N SZ-S S-HZG-PZ-D
1586,弗,HZ H SZWG P N
1587,懈,D D S P-HG SP-HZG-H-H-S HZG-SP P-H-H-S
1588,籍,P-H-D P-H-D H-H-H-S-P-N H-S-S-H S-HZ-H-H
1589,銀,P-D H-H-S-D-P-T HZ-H-H-ST-P-N
1590,揭,H-SG-T S-HZ-H-H P-HZG P-N SZ
1591,韩,H-S S-HZ-H-H H-S H-H-HZG-S
1592,侯,P S HZ H P H H P N
1593,到,H PZ-D H-S-H S SG
1594,妮,PD-P-H HZ-H-SP P-SWG
1595,秘,P-H-S-P-D D BXG D P D
1596,胶,SP-HZG-H-H D-H-P-D P-N
1597,杂,SP-HZWG H-SG P D
1598,贤,S S HP N S HZ P D
1599,財,S-HZ-H-H-H P D H-SG-P
1600,盟,S-HZ-H-H SP-HZG-H-H S-HZ-S-S-H
1601,長,H-S-H-H-H-ST-P-N
1602,藤,H-S-S SP-HZG-H-H D P H-H-P-N SG D T P D
1603,醒,H-S-HZ-SP-SW-H-H S-HZ-H-H P-H-H-S-H
1604,擎,H-S-S P-HZG S-HZ-H P-H-P-N P-H-H-SG
1605,研,H-P S-HZ-H H H-SP-S
1606,缤,PZ-PZ T D-D-HG P-S-H-S-H P D
1607,官,D-D-HG S-HZ-H-HZ-H
1608,沿,D D T SP HZW S-HZ-H
1609,螺,S-HZ-H-S-T-D S-HZ-H-S-H PZ-PZ-D SG P D
1610,煲,P-S S-HZ-H H-S-P-N D-P-SP-N
1611,尧,H XG P H P SWG
1612,倬,P-S S-H S-HZ-H-H H-S
1613,痧,D-H-SP D T D D T SG P D P
1614,录,HZ-H-H SG D T P D
1615,毒,H-H-S-H SZ-HZG-D-D-H
1616,论,D HZT P-N P-SWG
1617,抄,H-SG-T SG P D P
1618,滋,D D T D P H PZ-PZ-D PZ-PZ-D
1619,急,P-HG HZ-H-H D BXG D D
1620,雙,P-S-D-H-H-H-S-H P-S-D-H-H-H-S-H HP-N
1621,棠,S-D-P D-HG S-HZ-H H-S-P-N
1622,糖,D P H-S-P-N D-H-SP HZ-H-H-S S-HZ-H
1623,去,H-S-H PZ-D
1624,狂,P-WG-P H H-S-H
1625,聖,H-S-S-H-H-H S-HZ-H H H-S-H
1626,赢,D H-SW S-HZ-H SP-HZG-H-H S-HZ SP-D SP HZWG D
1627,蔬,H S S HP S H S T D H PZ D P S SWG
1628,浇,D D T H XG P H P SWG
1629,闸,S-D-HZG S-HZ-H-H-S
1630,潘,D D T P D P H-S-P-N S-HZ-H-S-H
1631,濛,D D T S-H S-H D-HG H H-P-WG-P-P-P-N
1632,颁,P TN HZG-SP H-P S-HZ SP-D
1633,措,H-SG-T H-S-S-H S-HZ-H-H
1634,拓,H-SG-T H-P S-HZ-H
1635,凰,SP HZWG P-S-HZ-H-H H H-S-H
1636,荞,H-S-S SP H-SP-N SP S
1637,苗,H-S-S S-HZ-H-S-H
1638,损,H-SG-T S-HZ-H S-HZ SP-D
1639,键,P-H-H-H-ST HZ-H-H-H-H-S HZZP-N
1640,寶,D-D-HG H H-S-H P-H-H-S-SZ-S S-HZ-H-H-H P D
1641,贡,H S-H S-HZ SP-D
1642,侨,P-S SP H-SP-N SP S
1643,叶,S-HZ-H H-S
1644,語,D H H H S-HZ-H H-S-HZ-H S-HZ-H
1645,汤,D D T HZZZG-P-P
1646,颜,D H D P H-SP P P P H-P S-HZ SP-D
1647,蓟,H-S-S P-HG S-HZ-H-S-H H S SG
1648,荫,H-S-S HPWG-S SP-HZG-H-H
1649,傅,P-S H-S-HZG-H-H-S D H-SG-D
1650,额,D-D-HG P-HP-N S-HZ-H H-P S-HZ SP-D
1651,碑,H-P S-HZ-H P-S-HZ-H-H-SP-H-S
1652,胞,SP-HZG-H-H P-HZG HZ-H-SWG
1653,秩,P-H-S-P-D SP H-H-SP-N
1654,粮,D P H-S-P-N D HZ-H-H-ST-P-N
1655,蚝,S-HZ-H-S-T-D P-H-H-SWG
1656,播,H-SG-T P D P H-S-P-N S-HZ-H-S-H
1657,悬,S-HZ-H-H-H PZ-D D BXG D D
1658,雀,SG P D P-S-D-H-H-H-S-H
1659,滩,D D T HP-N P-S-D-H-H-H-S-H
1660,落,H-S-S D D T P-HP-N S-HZ-H
1661,讼,D HZT P N PZ-D
1662,佑,P-S H-P S-HZ-H
1663,酥,H-S-HZ-SP-SW-H-H P-H-S-P-N
1664,啤,S-HZ-H P-S-HZ-H-H-SP-H-S
1665,馍,P-HG ST H-S-S S-HZ-H-H H-SP-N
1666,携,H-SG-T P-S-D-H-H-H-S-H HZZZG-SP
1667,辈,S-H-H-H S-H-H-H H-SZ-H-S
1668,肠,SP-HZG-H-H HZZZG-P-P
1669,巅,S-SZ-S H-S S-HZ-H-H-H H P D H-P S-HZ SP-D
1670,棺,H-S-P-D D-D-HG S-HZ-H-HZ-H
1671,桂,H-S-P-D H-S-H H-S-H
1672,洄,D D T S-HZ S-HZ-H H
1673,菓,H-S-S S-HZ-H-H-H-S-P-N
1674,勇,HG-D S-HZG-H-H-S HZG-SP
1675,舍,P-N H H-S S-HZ-H
1676,産,D H D P H-SP P-H-H-S-H
1677,肩,D HZ-H-SP SP-HZG-H-H
1678,飘,H-S-HZ-S-S-H H H SG P D SP HZWG P-N
1679,又,HP-N
1680,誡,D H H H S-HZ-H H-XG-P-D H-SP-S
1681,硅,H-P S-HZ-H H-S-H H-S-H
1682,陳,HPWG-S H-S-HZ-H-H-S-P-N
1683,簾,P-H-D P-H-D D-H-SP D-P-H HZ-H-H-S-S-P-N
1684,隍,HPWG-S P-S-HZ-H-H H H-S-H
1685,锂,P-H-H-H-ST S-HZ-H-H-H-S-H
1686,率,D H PZ PZ D D T P D H S
1687,董,H-S-S P-H-S-HZ-H-H-H-S-H
1688,腻,SP-HZG-H-H H-XG D H H S-HZ SP-D
1689,片,SP-S-H-HZ
1690,肽,SP-HZG-H-H H-SP-N D
1691,史,S HZ H P N
1692,錢,P-D H-H-S-D-P-T H-XG-P-D H-XG-P-D
1693,伴,P-S D P H-H-S
1694,残,H P-HP-D H-H-XG-P-D
1695,逾,P-N H SP-HZG-H-H S SG D HZ-TN
1696,趣,H-S-H S-H-P-N H-S-S-H-H-H HP-N
1697,莅,H-S-S P-S D H D P H
1698,亨,D H S-HZ-H HG-SG
1699,狗,P-WG-P P-HZG S-HZ-H
1700,潜,D D T H-H-SP-N H-H-SP-N S-HZ-H-H
1701,旁,D H D P D-HG D-H-HZG-SP
1702,叠,HP-N HP-N HP-N D-HG S-HZ-H-H-H
1703,踩,S-HZ-H S-H-S-T P D D P H-S-P-N
1704,璀,H H-S-H S-SZ-S P-S-D-H-H-H-S-H
1705,蕭,S-H S-H HZ H H S P S D H SZ H HZ H S
1706,槽,H S P D H S HZ H S S H S HZ H H
1707,钰,P-H-H-H-ST H-H-S-H D
1708,闭,S-D-HZG H-SG-P
1709,嫂,PZ P H P S H HZ H H S HP N
1710,郡,HZ H H P S HZ H HZZZG S
1711,芙,H-S-S H-H-SP-N
1712,铃,P-H-H-H-ST P-N D-HG-D
1713,问,S-D-HZG S-HZ-H
1714,屹,S-SZ-S P-H HXWG
1715,虾,S-HZ-H-S-T-D H-S-D
1716,盾,P-SP H-S S-HZ-H-H-H
1717,頭,H S-HZ-H D P H H-P S-HZ-H-H-H P D
1718,病,D-H-SP D T H-S-HZG-SP-D
1719,独,P-WG-P S-HZ-H-S-T-D
1720,區,H S-HZ-H S-HZ-H S-HZ-H SZ
1721,晟,S-HZ-H-H H-SP-HZG-XG-P D
1722,块,H-S-H HZ-H-SP-N
1723,霞,H-D-HG-S H H H H HZ-H-S-H-H HZ-H HP-N
1724,哪,S-HZ-H SP-HZG-H-H HPWG-S
1725,粉,D P H-S-P-N P TN HZG-SP
1726,池,D D T HZG-S-SWG
1727,赚,S-HZ SP-D D-P-H HZ-H-H-S-S-P-N
1728,倾,P-S P-SWG H-P S-HZ SP-D
1729,往,P P-S D H H-S-H
1730,琨,H H-S-H S-HZ-H-H H-ST P-SWG
1731,稻,P-H-S-P-D P D D P P-S-H-HZ-H-H
1732,恋,D-H-SP-SG-P-D D BXG D D
1733,诗,D HZT H-S-H H-SG-D
1734,慧,H-H-H-S H-H-H-S HZ-H-H D BXG D D
1735,玄,D H PZ-PZ-D
1736,历,H-SP HZG-SP
1737,琦,H H-S-H H-SP-N H-SG S-HZ-H
1738,訓,D H H H S-HZ-H SP S S
1739,腊,SP-HZG-H-H H-S-S-H S-HZ-H-H
1740,杜,H-S-P-D H-S-H
1741,倦,P-S D P H-H-P-N HZG-SWG
1742,刷,HZ-H-SP S-HZG-S S-SG
1743,丸,SP-HZWG-D
1744,榄,H S P D S S P H D S HZ P SWG
1745,辋,H-SZ-H-S S-HZG D P H D H-SW
1746,钥,P-H-H-H-ST SP-HZG-H-H
1747,電,H-D-HG-S H H H H S-HZ-H-H-SWG
1748,志,H-S-H D BXG D D
1749,何,P-S H-SG S-HZ-H
1750,髓,S-HZ-HZ-D-HG S-HZG-H-H H-P H S-H SP-HZG-H-H D HZ-TN
1751,苔,H-S-S PZ-D S-HZ-H
1752,弟,D P HZ H SZWG S P
1753,叮,S-HZ-H H-SG
1754,锲,P-H-H-H-ST H-H-H-S HZG-SP H-SP-N
1755,斑,H H-S-H D H P-N H H-S-H
1756,簧,P-H-D P-H-D H-S-S-H S-HZ-H-S-H P D
1757,傷,P S P H S HZ H H H P HZG P P
1758,勒,H-S-S-H-S-HZ-H-H-S HZG-SP
1759,珑,H H-S-H H-SP-P-SWG D
1760,斋,D H P-N H-P-S-HZG-S-S
1761,卧,H-S-HZ-H-S-SZ S D
1762,陵,HPWG-S H-S-H P TN P-HP-N
1763,纶,PZ-PZ T P-N P-SWG
1764,篇,P-H-D P-H-D D HZ-H-SP S-HZG H-S-S
1765,厰,H-SP S-D-P S-HZG S-HZ-H P-H-P-N
1766,薹,H-S-S H-S-H S-HZ-H D-HG H PZ-D H-S-H
1767,島,P S HZ H H H HZG S SZ S
1768,莓,H-S-S P-H SZ-HZG-D-D-H
1769,绸,PZ-PZ T SP-HZG H-S-H S-HZ-H
1770,蟹,P-HG SP-HZG-H-H-S HZG-SP P-H-H-S S-HZ-H-S-T-D
1771,概,H S P D HZ H H ST D H PZ P SWG
1772,秦,H H H P N P H S P D
1773,寳,D-D-HG H H-S-H P-HG SG P D S-HZ-H-H-H P D
1774,族,D H HZG P P H P H H P N
